cp_name,cp_name_masked,clean,bad,total,ratio
한겨레21,ᄒᄀᄅ21,284,0,284,0.0
시사IN,ᄉᄉ○○,452,1,453,0.002207505518763797
미디어오늘,ᄆᄃᄋᄋᄂ,1453,4,1457,0.002745367192862045
더팩트,ᄃᄑᄐ,3840,11,3851,0.002856400934822124
오마이뉴스,ᄋᄆᄋᄂᄉ,12213,35,12248,0.0028576094056172435
데일리안,ᄃᄋᄅᄋ,5279,17,5296,0.0032099697885196376
디지털타임스,ᄃᄌᄐᄐᄋᄉ,2007,7,2014,0.003475670307845084
KBS,K○○,34489,121,34610,0.0034960993932389483
YTN,Y○○,33670,127,33797,0.0037577299760333757
일간스포츠,ᄋᄀᄉᄑᄎ,766,3,769,0.0039011703511053317
스포츠동아,ᄉᄑᄎᄃᄋ,459,2,461,0.004338394793926247
JTBC,J○○○,9184,41,9225,0.0044444444444444444
EBS,E○○,1061,5,1066,0.004690431519699813
MBC,M○○,19277,92,19369,0.004749858020548299
연합뉴스TV,ᄋᄒᄂᄉ○○,18727,93,18820,0.004941551540913921
스포츠경향,ᄉᄑᄎᄀᄒ,1047,6,1053,0.005698005698005698
머니S,ᄆᄂ○,14115,87,14202,0.00612589776087875
헤럴드경제,ᄒᄅᄃᄀᄌ,19113,118,19231,0.006135926368883574
SBS,S○○,15139,94,15233,0.006170813365719162
파이낸셜뉴스,ᄑᄋᄂᄉᄂᄉ,23843,149,23992,0.006210403467822608
매일경제,ᄆᄋᄀᄌ,5560,41,5601,0.007320121406891627
신동아,ᄉᄃᄋ,389,3,392,0.007653061224489796
스포츠조선,ᄉᄑᄎᄌᄉ,1423,11,1434,0.007670850767085077
연합뉴스,ᄋᄒᄂᄉ,111945,876,112821,0.0077645119259712285
MBN,M○○,7208,59,7267,0.008118893628732627
기자협회보,ᄀᄌᄒᄒᄇ,349,3,352,0.008522727272727272
한국일보,ᄒᄀᄋᄇ,19982,177,20159,0.008780197430428096
쿠키뉴스,ᄏᄏᄂᄉ,24602,223,24825,0.008982880161127896
채널A,ᄎᄂ○,4121,38,4159,0.009136811733589805
서울경제,ᄉᄋᄀᄌ,14701,136,14837,0.009166273505425626
마리끌레르,ᄆᄅᄁᄅᄅ,211,2,213,0.009389671361502348
시사저널,ᄉᄉᄌᄂ,2165,21,2186,0.00960658737419945
한국경제,ᄒᄀᄀᄌ,11509,112,11621,0.009637724808536271
아시아경제,ᄋᄉᄋᄀᄌ,24977,254,25231,0.01006698109468511
프레시안,ᄑᄅᄉᄋ,12858,131,12989,0.01008545692509046
머니투데이,ᄆᄂᄐᄃᄋ,25666,264,25930,0.010181257231006557
한겨레,ᄒᄀᄅ,10051,104,10155,0.010241260462826194
이데일리,ᄋᄃᄋᄅ,19724,212,19936,0.01063402889245586
중앙SUNDAY,ᄌᄋ○○○○○○,448,5,453,0.011037527593818985
경향신문,ᄀᄒᄉᄆ,15585,185,15770,0.011731135066582118
뉴시스,ᄂᄉᄉ,92615,1159,93774,0.012359502633992365
노컷뉴스,ᄂᄏᄂᄉ,26144,341,26485,0.01287521238436851
뉴스1,ᄂᄉ1,109876,1446,111322,0.012989346220872784
아이뉴스24,ᄋᄋᄂᄉ24,1784,24,1808,0.01327433628318584
우먼동아일보,ᄋᄆᄃᄋᄋᄇ,511,7,518,0.013513513513513514
SBS funE,S○○○○○○○,401,6,407,0.014742014742014743
서울신문,ᄉᄋᄉᄆ,18946,295,19241,0.015331843459279662
조선일보,ᄌᄉᄋᄇ,17399,273,17672,0.015448166591217746
세계일보,ᄉᄀᄋᄇ,17384,273,17657,0.015461290139887863
문화일보,ᄆᄒᄋᄇ,7248,118,7366,0.01601954928047787
국민일보,ᄀᄆᄋᄇ,16477,271,16748,0.01618103654167662
동아일보,ᄃᄋᄋᄇ,11045,183,11228,0.016298539365871036
중앙일보,ᄌᄋᄋᄇ,20701,394,21095,0.018677411708935766
