cp_name,cp_name_masked,clean,bad,total,ratio
중앙일보,ᄌᄋᄋᄇ,20504,382,20886,0.0182897634779278
동아일보,ᄃᄋᄋᄇ,11033,183,11216,0.01631597717546362
국민일보,ᄀᄆᄋᄇ,16261,265,16526,0.016035338254871113
문화일보,ᄆᄒᄋᄇ,7178,110,7288,0.015093304061470912
조선일보,ᄌᄉᄋᄇ,17372,265,17637,0.015025231048364234
세계일보,ᄉᄀᄋᄇ,17229,261,17490,0.014922813036020582
서울신문,ᄉᄋᄉᄆ,18708,281,18989,0.014798040971088526
SBS funE,S○○○○○○○,402,6,408,0.014705882352941176
우먼동아일보,ᄋᄆᄃᄋᄋᄇ,497,7,504,0.013888888888888888
아이뉴스24,ᄋᄋᄂᄉ24,1729,24,1753,0.013690815744438107
뉴스1,ᄂᄉ1,109641,1425,111066,0.012830209064880341
노컷뉴스,ᄂᄏᄂᄉ,26019,332,26351,0.012599142347538993
뉴시스,ᄂᄉᄉ,91989,1151,93140,0.012357741035001073
경향신문,ᄀᄒᄉᄆ,15500,176,15676,0.011227353916815515
중앙SUNDAY,ᄌᄋ○○○○○○,469,5,474,0.010548523206751054
이데일리,ᄋᄃᄋᄅ,19519,208,19727,0.010543924570385766
머니투데이,ᄆᄂᄐᄃᄋ,25529,267,25796,0.010350441928981238
프레시안,ᄑᄅᄉᄋ,13261,135,13396,0.010077635114959689
아시아경제,ᄋᄉᄋᄀᄌ,24749,249,24998,0.0099607968637491
채널A,ᄎᄂ○,4132,41,4173,0.009825065899832255
한겨레,ᄒᄀᄅ,9939,98,10037,0.009763873667430508
한국경제,ᄒᄀᄀᄌ,11492,112,11604,0.009651844191658049
마리끌레르,ᄆᄅᄁᄅᄅ,214,2,216,0.009259259259259259
서울경제,ᄉᄋᄀᄌ,14621,134,14755,0.009081667231446967
한국일보,ᄒᄀᄋᄇ,19887,180,20067,0.00896995066527134
쿠키뉴스,ᄏᄏᄂᄉ,24424,215,24639,0.008726003490401396
기자협회보,ᄀᄌᄒᄒᄇ,354,3,357,0.008403361344537815
MBN,M○○,7214,61,7275,0.008384879725085911
시사저널,ᄉᄉᄌᄂ,2219,18,2237,0.008046490835940992
신동아,ᄉᄃᄋ,379,3,382,0.007853403141361256
스포츠조선,ᄉᄑᄎᄌᄉ,1419,11,1430,0.007692307692307693
연합뉴스,ᄋᄒᄂᄉ,111356,844,112200,0.007522281639928699
매일경제,ᄆᄋᄀᄌ,5548,41,5589,0.00733583825371265
파이낸셜뉴스,ᄑᄋᄂᄉᄂᄉ,23598,153,23751,0.006441834028040924
머니S,ᄆᄂ○,14146,88,14234,0.0061823802163833074
헤럴드경제,ᄒᄅᄃᄀᄌ,18911,115,19026,0.006044360348996111
SBS,S○○,15234,92,15326,0.006002870938274827
스포츠경향,ᄉᄑᄎᄀᄒ,1057,6,1063,0.005644402634054563
연합뉴스TV,ᄋᄒᄂᄉ○○,18734,101,18835,0.005362357313512078
MBC,M○○,19295,95,19390,0.004899432697266632
JTBC,J○○○,9188,41,9229,0.004442518149311951
스포츠동아,ᄉᄑᄎᄃᄋ,451,2,453,0.004415011037527594
시사IN,ᄉᄉ○○,452,2,454,0.004405286343612335
일간스포츠,ᄋᄀᄉᄑᄎ,749,3,752,0.003989361702127659
YTN,Y○○,33662,131,33793,0.003876542479211671
EBS,E○○,1068,4,1072,0.0037313432835820895
디지털타임스,ᄃᄌᄐᄐᄋᄉ,2016,7,2023,0.0034602076124567475
KBS,K○○,33861,114,33975,0.0033554083885209713
오마이뉴스,ᄋᄆᄋᄂᄉ,12163,36,12199,0.0029510615624231493
더팩트,ᄃᄑᄐ,3833,11,3844,0.0028616024973985433
데일리안,ᄃᄋᄅᄋ,5058,14,5072,0.0027602523659305996
미디어오늘,ᄆᄃᄋᄋᄂ,1447,3,1450,0.0020689655172413794
한겨레21,ᄒᄀᄅ21,281,0,281,0.0
