cp_name,cp_name_masked,clean,bad,total,ratio
오토타임즈,ᄋᄐᄐᄋᄌ,1472,0,1472,0.0
동아사이언스,ᄃᄋᄉᄋᄋᄉ,1330,0,1330,0.0
월간산,ᄋᄀᄉ,549,0,549,0.0
IT동아,I○ᄃᄋ,521,0,521,0.0
한경비즈니스,ᄒᄀᄇᄌᄂᄉ,448,0,448,0.0
OSEN,O○○○,440,0,440,0.0
월간 아웃도어,ᄋᄀ○ᄋᄋᄃᄋ,326,0,326,0.0
한겨레21,ᄒᄀᄅ21,292,0,292,0.0
월간 전원속의 내집,ᄋᄀ○ᄌᄋᄉᄋ○ᄂᄌ,255,0,255,0.0
지디넷코리아,ᄌᄃᄂᄏᄅᄋ,5565,3,5568,0.0005387931034482759
스포츠동아,ᄉᄑᄎᄃᄋ,1028,1,1029,0.0009718172983479105
전자신문,ᄌᄌᄉᄆ,11228,13,11241,0.0011564807401476737
하이닥,ᄒᄋᄃ,1423,2,1425,0.0014035087719298245
SBSCNBC,S○○○○○○,8540,13,8553,0.001519934525897346
매경게임진,ᄆᄀᄀᄋᄌ,638,1,639,0.001564945226917058
게임동아,ᄀᄋᄃᄋ,630,1,631,0.001584786053882726
코메디닷컴,ᄏᄆᄃᄃᄏ,1718,3,1721,0.0017431725740848344
조선비즈,ᄌᄉᄇᄌ,10263,18,10281,0.0017508024511234317
디지털타임스,ᄃᄌᄐᄐᄋᄉ,9037,16,9053,0.0017673699326190213
더팩트,ᄃᄑᄐ,6392,12,6404,0.0018738288569643974
투어코리아,ᄐᄋᄏᄅᄋ,1872,5,1877,0.002663825253063399
bnt뉴스,b○○ᄂᄉ,366,1,367,0.0027247956403269754
일간스포츠,ᄋᄀᄉᄑᄎ,1331,4,1335,0.00299625468164794
연합뉴스 보도자료,ᄋᄒᄂᄉ○ᄇᄃᄌᄅ,6724,21,6745,0.0031134173461823574
데일리안,ᄃᄋᄅᄋ,8507,27,8534,0.003163815326927584
오마이뉴스,ᄋᄆᄋᄂᄉ,12467,40,12507,0.0031982090029583432
매경이코노미,ᄆᄀᄋᄏᄂᄆ,549,2,551,0.003629764065335753
KBS,K○○,36706,135,36841,0.003664395646155099
EBS,E○○,1085,4,1089,0.0036730945821854912
게임톡,ᄀᄋᄐ,523,2,525,0.0038095238095238095
미디어오늘,ᄆᄃᄋᄋᄂ,1500,6,1506,0.00398406374501992
아이뉴스24,ᄋᄋᄂᄉ24,7376,30,7406,0.004050769646232784
중앙SUNDAY,ᄌᄋ○○○○○○,485,2,487,0.004106776180698152
YTN,Y○○,36973,155,37128,0.004174746821805645
JTBC,J○○○,10203,45,10248,0.004391100702576112
엘르,ᄋᄅ,224,1,225,0.0044444444444444444
파이낸셜뉴스,ᄑᄋᄂᄉᄂᄉ,39885,183,40068,0.004567235699311171
머니S,ᄆᄂ○,22547,104,22651,0.00459140876782482
