date,clean,bad,total,ratio,z
20191012,301,9,310,0.02903225806451613,1.6248828410013043
20191013,349,3,352,0.008522727272727272,-1.008883761993717
20191014,363,3,366,0.00819672131147541,-1.050748377125049
20191015,360,8,368,0.021739130434782608,0.688323337150411
20191016,364,9,373,0.024128686327077747,0.9951822589369868
20191017,358,8,366,0.02185792349726776,0.7035783521879151
20191018,341,4,345,0.011594202898550725,-0.6144549470524336
20191019,298,5,303,0.0165016501650165,0.015743317724614122
20191020,307,1,308,0.003246753246753247,-1.6864070232007853
20191021,345,11,356,0.03089887640449438,1.8645878393399777
20191022,344,9,353,0.025495750708215296,1.1707361781239451
20191023,337,10,347,0.02881844380403458,1.5974255157110622
20191024,352,10,362,0.027624309392265192,1.4440786953896303
20191025,336,5,341,0.01466275659824047,-0.22040135627134683
20191026,305,2,307,0.006514657980456026,-1.2667534271837788
20191027,353,4,357,0.011204481792717087,-0.664501651847741
20191028,350,9,359,0.025069637883008356,1.1160161682158096
20191029,380,10,390,0.02564102564102564,1.189391907997659
20191030,341,3,344,0.00872093023255814,-0.9834311886746678
20191031,343,7,350,0.02,0.46498991700135206
20191101,348,4,352,0.011363636363636364,-0.64406354442068
20191102,309,7,316,0.022151898734177215,0.7413296868693333
20191103,325,6,331,0.01812688821752266,0.2244510520976073
20191104,365,10,375,0.02666666666666667,1.3211013609060787
20191105,365,3,368,0.008152173913043478,-1.056469007764113
20191106,362,4,366,0.01092896174863388,-0.6998830312624562
20191107,342,6,348,0.017241379310344827,0.11073690573043064
20191108,348,5,353,0.014164305949008499,-0.2844107520257315
20191109,316,6,322,0.018633540372670808,0.2895136583128056
20191110,322,4,326,0.012269938650306749,-0.5276791805323493
20191111,371,3,374,0.008021390374331552,-1.0732638003889587
20191112,379,8,387,0.020671834625323,0.5512647136739215
20191113,357,4,361,0.0110803324099723,-0.6804445079459691
20191114,410,4,414,0.00966183574879227,-0.8626031916624993
20191115,359,6,365,0.01643835616438356,0.007615309983758173
20191116,297,3,300,0.01,-0.8191772488557377
20191117,311,7,318,0.0220125786163522,0.7234386547839108
20191118,356,7,363,0.01928374655647383,0.3730110015405137
20191119,367,4,371,0.01078167115902965,-0.7187976051634045
20191120,360,8,368,0.021739130434782608,0.688323337150411
20191121,336,9,345,0.02608695652173913,1.2466568875230586
20191122,339,10,349,0.02865329512893983,1.5762176651069142
20191123,313,3,316,0.00949367088607595,-0.8841983711776157
20191124,318,3,321,0.009345794392523364,-0.9031881849398465
20191125,360,2,362,0.0055248618784530384,-1.393859792692336
20191126,376,4,380,0.010526315789473684,-0.7515895032843121
20191127,338,7,345,0.020289855072463767,0.5022121536928617
20191128,368,7,375,0.018666666666666668,0.2937676282204069
20191129,353,2,355,0.005633802816901409,-1.3798699550750306
20191130,312,3,315,0.009523809523809525,-0.8803280662775038
20191201,314,7,321,0.021806853582554516,0.6970201214241282
20191202,377,1,378,0.0026455026455026454,-1.763617651258571
20191203,369,6,375,0.016,-0.04867694934148387
20191204,362,7,369,0.018970189701897018,0.3327450598128169
20191205,355,7,362,0.019337016574585635,0.3798517623588929
20191206,358,4,362,0.011049723756906077,-0.6843751706718444
20191207,299,6,305,0.019672131147540985,0.4228860754978411
20191208,324,3,327,0.009174311926605505,-0.9252094001650387
20191209,365,2,367,0.005449591280653951,-1.4035257957171383
20191210,352,3,355,0.008450704225352112,-1.018132725256132
20191211,357,8,365,0.021917808219178082,0.711268551549287
20191212,376,11,387,0.028423772609819122,1.5467431368189524
20191213,352,7,359,0.019498607242339833,0.4006027053427793
20191214,297,3,300,0.01,-0.8191772488557377
20191215,317,2,319,0.006269592476489028,-1.2982239345516429
20191216,338,7,345,0.020289855072463767,0.5022121536928617
20191217,362,4,366,0.01092896174863388,-0.6998830312624562
20191218,345,12,357,0.03361344537815126,2.213183873882432
20191219,374,6,380,0.015789473684210527,-0.07571204757005416
20191220,347,2,349,0.0057306590257879654,-1.3674319987488794
20191221,280,3,283,0.01060070671378092,-0.7420364650410008
