cp_name,cp_name_masked,clean,bad,total,ratio
문화일보,ᄆᄒᄋᄇ,129,6,135,0.044444444444444446
동아일보,ᄃᄋᄋᄇ,793,22,815,0.026993865030674847
뉴스1,ᄂᄉ1,8632,234,8866,0.026392961876832845
국민일보,ᄀᄆᄋᄇ,695,18,713,0.025245441795231416
세계일보,ᄉᄀᄋᄇ,1129,29,1158,0.025043177892918825
MBN,M○○,83,2,85,0.023529411764705882
시사저널,ᄉᄉᄌᄂ,126,3,129,0.023255813953488372
한국경제,ᄒᄀᄀᄌ,499,11,510,0.021568627450980392
뉴시스,ᄂᄉᄉ,6375,135,6510,0.020737327188940093
서울신문,ᄉᄋᄉᄆ,1708,36,1744,0.020642201834862386
머니S,ᄆᄂ○,191,4,195,0.020512820512820513
시사IN,ᄉᄉ○○,51,1,52,0.019230769230769232
파이낸셜뉴스,ᄑᄋᄂᄉᄂᄉ,363,7,370,0.01891891891891892
조선일보,ᄌᄉᄋᄇ,1104,21,1125,0.018666666666666668
프레시안,ᄑᄅᄉᄋ,53,1,54,0.018518518518518517
신동아,ᄉᄃᄋ,54,1,55,0.01818181818181818
이데일리,ᄋᄃᄋᄅ,947,17,964,0.017634854771784232
디지털타임스,ᄃᄌᄐᄐᄋᄉ,58,1,59,0.01694915254237288
쿠키뉴스,ᄏᄏᄂᄉ,120,2,122,0.01639344262295082
SBS,S○○,1458,23,1481,0.015530047265361242
연합뉴스,ᄋᄒᄂᄉ,17338,262,17600,0.014886363636363637
아시아경제,ᄋᄉᄋᄀᄌ,800,12,812,0.014778325123152709
연합뉴스TV,ᄋᄒᄂᄉ○○,285,4,289,0.01384083044982699
매일경제,ᄆᄋᄀᄌ,307,4,311,0.012861736334405145
MBC,M○○,1782,23,1805,0.012742382271468145
머니투데이,ᄆᄂᄐᄃᄋ,2738,35,2773,0.012621709340064912
중앙일보,ᄌᄋᄋᄇ,2561,32,2593,0.012340917855765523
경향신문,ᄀᄒᄉᄆ,1173,14,1187,0.011794439764111205
노컷뉴스,ᄂᄏᄂᄉ,1271,14,1285,0.010894941634241245
한국일보,ᄒᄀᄋᄇ,1626,16,1642,0.0097442143727162
서울경제,ᄉᄋᄀᄌ,432,4,436,0.009174311926605505
하이닥,ᄒᄋᄃ,108,1,109,0.009174311926605505
헤럴드경제,ᄒᄅᄃᄀᄌ,441,4,445,0.008988764044943821
KBS,K○○,1476,13,1489,0.008730691739422432
한겨레,ᄒᄀᄅ,848,7,855,0.008187134502923977
JTBC,J○○○,1650,11,1661,0.006622516556291391
채널A,ᄎᄂ○,154,1,155,0.0064516129032258064
YTN,Y○○,739,3,742,0.004043126684636119
조선비즈,ᄌᄉᄇᄌ,294,1,295,0.003389830508474576
오마이뉴스,ᄋᄆᄋᄂᄉ,420,1,421,0.0023752969121140144
헬스조선,ᄒᄉᄌᄉ,170,0,170,0.0
코메디닷컴,ᄏᄆᄃᄃᄏ,121,0,121,0.0
지디넷코리아,ᄌᄃᄂᄏᄅᄋ,108,0,108,0.0
데일리안,ᄃᄋᄅᄋ,86,0,86,0.0
더팩트,ᄃᄑᄐ,69,0,69,0.0
동아사이언스,ᄃᄋᄉᄋᄋᄉ,65,0,65,0.0
중앙SUNDAY,ᄌᄋ○○○○○○,62,0,62,0.0
미디어오늘,ᄆᄃᄋᄋᄂ,61,0,61,0.0
전자신문,ᄌᄌᄉᄆ,57,0,57,0.0
